index_column,taxumap1,taxumap2
211126-LD-169.06,57.153503,-10.108429
211126-LD-169.07,44.16898,-14.905322
211126-LD-170.03,43.747204,-11.590906
211126-LD-171.03,55.65487,-10.67504
211126-LD-178.05,43.855213,-11.912771
211126-LD-178.07,43.895985,-11.815322
211126-LD-178.08,44.009586,-12.13947
211126-LD-178.09,43.82507,-11.695946
211126-LD-181.01,43.771122,-11.34381
211126-LD-183.04,49.609016,-13.601087
211126-LD-183.07,49.593464,-13.607882
211126-LD-183.09,49.67431,-13.482755
211126-LD-184.01,45.300594,-11.868107
211126-LD-185.01,44.442425,-14.052947
211126-LD-187.01,45.430996,-14.528701
211126-LD-187.02,44.488182,-14.597628
211126-LD-187.06,45.479477,-14.391801
211126-LD-187.08,44.665974,-14.80994
211126-LD-187.09,56.95025,-10.454913
211126-LD-187.11,56.25687,-10.502406
211126-LD-187.13,56.784283,-10.24274
211126-LD-188.01,45.9856,-14.090885
211126-LD-191.01,44.637356,-14.394465
211126-LD-191.04,50.10385,-10.362201
211126-LD-191.06,44.148804,-14.568795
211126-LD-191.08,48.195522,-13.436986
211126-LD-192.01,44.761467,-13.459514
211126-LD-192.02,44.73594,-13.49638
211126-LD-193.01,44.137764,-14.419588
211126-LD-193.02,44.73485,-14.190147
211126-LD-193.09,56.58032,-10.686483
211126-LD-194.01,47.882286,-11.883654
211126-LD-194.05,47.77837,-11.976413
211126-LD-194.06,49.20153,-13.232573
211126-LD-195.01,45.68323,-14.265936
211126-LD-196.01,57.24643,-10.711937
211126-LD-196.03,57.451138,-10.433192
211126-LD-198.01,47.65252,-12.405606
211126-LD-199.01,44.45507,-11.730998
211126-LD-200.01,44.74866,-14.389121
211126-LD-201.01,44.18574,-12.038009
211126-LD-202.01,44.98803,-14.543448
211126-LD-203.01,45.77001,-14.09193
211126-LD-203.03,56.471535,-10.408926
211126-LD-203.04,56.89979,-10.19807
211126-LD-203.05,57.327698,-10.404701
211126-LD-203.08,56.676426,-10.171375
211126-LD-206.01,45.938995,-13.269668
211126-LD-206.04,45.78571,-13.651128
211126-LD-206.05,45.577152,-13.667141
211126-LD-207.01,50.21148,-10.463983
211126-LD-207.03,47.865536,-11.900523
211126-LD-208.02,45.773846,-12.791535
211126-LD-208.03,45.593533,-12.810953
211126-LD-208.04,48.951042,-13.39424
211126-LD-209.01,45.443726,-13.157656
211126-LD-210.01,46.681805,-13.53313
211126-LD-211.01,45.833534,-13.795357
211126-LD-212.01,45.54712,-13.7463665
211203-LD-024.16,46.952457,-13.563201
211203-LD-024.18,55.72309,-11.139904
211203-LD-077.02,45.963577,-13.270223
211203-LD-119.06,44.293148,-11.743836
211203-LD-123.26,49.892197,-10.837258
211203-LD-123.28,49.286373,-12.568845
211203-LD-123.29,49.074577,-13.286597
211203-LD-123.31,50.040173,-10.808406
211203-LD-123.32,49.276505,-12.439424
211203-LD-123.34,49.984333,-10.751012
211203-LD-129.12,43.997005,-13.960587
211203-LD-129.13,43.991028,-11.5879755
211203-LD-136.16,44.189167,-11.127759
211203-LD-138.09,49.43792,-13.656865
211203-LD-138.11,54.8853,-10.942399
211203-LD-146.22,50.385292,-10.583867
211203-LD-187.14,55.63546,-10.647486
211203-LD-191.10,48.42831,-13.442813
211203-LD-194.08,46.948555,-13.391923
211203-LD-202.04,47.95463,-11.964843
211203-LD-202.05,49.304836,-13.314909
211203-LD-207.04,47.660065,-12.063086
211203-LD-208.08,56.366367,-10.452317
211203-LD-208.09,57.12318,-10.571564
211203-LD-215.01,44.88462,-14.22092
211203-LD-218.01,45.70837,-14.121065
211203-LD-221.01,46.648968,-13.815256
211203-LD-222.01,57.834675,-10.535047
211203-LD-222.03,57.928883,-10.459079
211203-LD-222.05,57.760235,-10.522013
211203-LD-222.06,56.7007,-10.189716
211203-LD-222.07,57.243137,-10.603391
211203-LD-224.01,45.85947,-13.970137
211203-LD-226.02,46.56746,-13.647209
211203-LD-227.01,50.48547,-10.666307
211203-LD-227.02,50.363464,-10.569824
211203-LD-228.01,44.453587,-13.822461
211203-LD-228.03,47.868473,-11.892625
211203-LD-228.04,46.24882,-12.47167
211203-LD-230.01,56.86533,-10.866645
